run_id,condition_id,task_id,repeat,task_success,tool_route_success,first_tool_accuracy,forbidden_tool_hit,hallucination,llm_calls,tool_calls,total_tokens,wall_time_s,tool_compute_time_s,llm_decision_time_s,knowledge_input_tokens_est,actual_tools,error
K2_T2_r03,K2,T2,3,True,True,True,False,False,14,22,240942,903.233,836.384,66.849,3151,"read_file,read_file,validate_basin,calibrate_model,calibrate_model,evaluate_model,evaluate_model,read_file,read_file,read_file,read_file,evaluate_model,evaluate_model,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model,generate_code,run_code,generate_code",
K0_T1_r04,K0,T1,4,False,False,False,False,False,1,0,577,8.265,0,8.265,0,,
K0_T1_r05,K0,T1,5,False,False,False,False,False,1,0,822,8.9,0,8.9,0,,
K0_T2_r04,K0,T2,4,False,False,False,False,False,1,0,614,7.065,0,7.065,0,,
K0_T2_r05,K0,T2,5,False,False,False,False,False,1,0,569,6.698,0,6.698,0,,
K1_T1_r04,K1,T1,4,True,True,True,False,False,4,4,12199,146.485,135.636,10.849,0,"validate_basin,calibrate_model,evaluate_model,evaluate_model",
K1_T1_r05,K1,T1,5,True,True,True,False,False,4,4,12574,130.226,118.713,11.513,0,"validate_basin,calibrate_model,evaluate_model,evaluate_model",
K1_T2_r04,K1,T2,4,True,True,True,False,False,6,10,29227,425.362,405.123,20.239,0,"validate_basin,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model,read_file,read_file,read_file",
K1_T2_r05,K1,T2,5,True,True,True,False,False,4,7,15547,410.706,395.191,15.515,0,"validate_basin,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model",
K2_T1_r04,K2,T1,4,True,True,True,False,False,5,5,55484,94.463,76.243,18.22,3152,"validate_basin,calibrate_model,evaluate_model,evaluate_model,read_file",
K2_T1_r05,K2,T1,5,True,True,True,False,False,7,6,80244,101.683,75.769,25.914,3152,"validate_basin,calibrate_model,evaluate_model,evaluate_model,read_file,read_file",
K2_T2_r04,K2,T2,4,True,True,True,False,False,7,11,92978,326.17,281.792,44.378,3152,"validate_basin,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model,read_file,read_file,read_file,read_file",
K2_T2_r05,K2,T2,5,True,True,True,False,False,14,18,223112,629.102,570.263,58.839,3152,"validate_basin,read_file,calibrate_model,calibrate_model,evaluate_model,evaluate_model,evaluate_model,evaluate_model,read_file,read_file,read_file,read_file,generate_code,run_code,generate_code,read_file,read_file,calibrate_model",
K0_T3_r01,K0,T3,1,True,True,True,False,False,1,0,2755,33.74,0,33.74,0,,
K0_T3_r02,K0,T3,2,True,True,True,False,False,1,0,2552,30.918,0,30.918,0,,
K0_T3_r03,K0,T3,3,True,True,True,False,False,1,0,2930,32.64,0,32.64,0,,
K0_T3_r04,K0,T3,4,True,True,True,False,False,1,0,4047,47.73,0,47.73,0,,
K0_T3_r05,K0,T3,5,True,True,True,False,False,1,0,1887,22.741,0,22.741,0,,
K0_T4_r01,K0,T4,1,False,True,True,False,False,1,0,1742,17.552,0,17.552,0,,
K0_T4_r02,K0,T4,2,False,True,True,False,False,1,0,1693,17.676,0,17.676,0,,
K0_T4_r03,K0,T4,3,False,True,True,False,False,1,0,1175,12.339,0,12.339,0,,
K0_T4_r04,K0,T4,4,False,True,True,False,False,1,0,1474,14.673,0,14.673,0,,
K0_T4_r05,K0,T4,5,False,True,True,False,False,1,0,1573,16.347,0,16.347,0,,
K1_T3_r01,K1,T3,1,True,True,True,False,False,1,0,4873,35.34,0,35.34,0,,
K1_T3_r02,K1,T3,2,True,True,True,False,False,1,0,5495,39.556,0,39.556,0,,
K1_T3_r03,K1,T3,3,True,True,True,False,False,1,0,5005,34.584,0,34.584,0,,
K1_T3_r04,K1,T3,4,True,True,True,False,False,1,0,4289,27.501,0,27.501,0,,
K1_T3_r05,K1,T3,5,True,True,True,False,False,1,0,3980,25.924,0,25.924,0,,
K1_T4_r01,K1,T4,1,False,True,True,False,False,1,0,3854,19.033,0,19.033,0,,
K1_T4_r02,K1,T4,2,False,True,True,False,False,1,0,3509,16.325,0,16.325,0,,
K1_T4_r03,K1,T4,3,False,True,True,False,False,1,0,3597,17.788,0,17.788,0,,
K1_T4_r04,K1,T4,4,False,True,True,False,False,1,0,3571,18.259,0,18.259,0,,
K1_T4_r05,K1,T4,5,False,True,True,False,False,1,0,3215,15.182,0,15.182,0,,
K2_T3_r01,K2,T3,1,True,True,True,False,False,1,0,12939,38.549,0,38.549,3152,,
K2_T3_r02,K2,T3,2,True,True,True,False,False,1,0,12773,36.984,0,36.984,3152,,
K2_T3_r03,K2,T3,3,True,True,True,False,False,1,0,11837,28.436,0,28.436,3152,,
K2_T3_r04,K2,T3,4,True,True,True,False,False,1,0,12488,34.844,0,34.844,3152,,
K2_T3_r05,K2,T3,5,True,True,True,False,False,1,0,12038,30.28,0,30.28,3152,,
K2_T4_r01,K2,T4,1,True,True,True,False,False,1,0,12022,26.518,0,26.518,3152,,
K2_T4_r02,K2,T4,2,True,True,True,False,False,1,0,11334,21.255,0,21.255,3152,,
K2_T4_r03,K2,T4,3,False,True,True,False,False,1,0,11322,20.492,0,20.492,3152,,
K2_T4_r04,K2,T4,4,True,True,True,False,False,1,0,12163,27.745,0,27.745,3152,,
K2_T4_r05,K2,T4,5,False,True,True,False,False,1,0,11188,19.871,0,19.871,3152,,
